DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
427,4,[0.6 1 1.4 1.8],0.4,1,7,510,0.266142578125,0.642134695932064,0.164503014722824,0.141890102314247,0.0012857407876666,0.706139455023386
457,4,[0.6 1 1.4 1.8],0.45,1,7,510,0.266142578125,0.642134695932064,0.164503014722824,0.141890102314247,0.0012857407876666,0.706139455023386
369,4,[0.6 1 1.4 1.8],0.3,1,9,504,0.26487060546875,0.640340091254445,0.147699051864297,0.159649953444187,0.00287479115621747,0.706408715188036
399,4,[0.6 1 1.4 1.8],0.35,1,9,505,0.26498046875,0.640340091254445,0.147699051864297,0.159649953444187,0.00287479115621747,0.706408715188036
17,1,[1 1.5],0.3,1.2,7,521,0.2672412109375,0.631955097982935,0.197783233956996,0.139366162332041,0.00111110807875697,0.706734770261669
47,1,[1 1.5],0.35,1.2,7,521,0.2672412109375,0.631955097982935,0.197783233956996,0.139366162332041,0.00111110807875697,0.706734770261669
77,1,[1 1.5],0.4,1.2,7,521,0.2672412109375,0.631955097982935,0.197783233956996,0.139366162332041,0.00111110807875697,0.706734770261669
107,1,[1 1.5],0.45,1.2,7,521,0.2672412109375,0.631955097982935,0.197783233956996,0.139366162332041,0.00111110807875697,0.706734770261669
12,1,[1 1.5],0.3,1.2,2,515,0.2552392578125,0.631482174358411,0.190450797902951,0.148009191880055,0.00176201122213002,0.706950009735094
42,1,[1 1.5],0.35,1.2,2,515,0.2552392578125,0.631482174358411,0.190450797902951,0.148009191880055,0.00176201122213002,0.706950009735094
72,1,[1 1.5],0.4,1.2,2,516,0.2555517578125,0.631482174358411,0.190450797902951,0.148009191880055,0.00176201122213002,0.706950009735094
102,1,[1 1.5],0.45,1.2,2,516,0.2555517578125,0.631482174358411,0.190450797902951,0.148009191880055,0.00176201122213002,0.706950009735094
482,5,[0.8 1 1.4 1.8 2.2],0.3,1,2,347,0.26252685546875,0.641059586190121,0.129609423290167,0.171384300294298,0.00427080885543216,0.70777692861884
512,5,[0.8 1 1.4 1.8 2.2],0.35,1,2,347,0.26252685546875,0.641059586190121,0.129609423290167,0.171384300294298,0.00427080885543216,0.70777692861884
542,5,[0.8 1 1.4 1.8 2.2],0.4,1,2,347,0.26252685546875,0.641059586190121,0.129609423290167,0.171384300294298,0.00427080885543216,0.70777692861884
572,5,[0.8 1 1.4 1.8 2.2],0.45,1,2,347,0.26252685546875,0.641059586190121,0.129609423290167,0.171384300294298,0.00427080885543216,0.70777692861884
280,3,[0.8 1.2 1.6 2],0.35,1,10,421,0.2725146484375,0.641966233287784,0.148164474420944,0.160282356047147,0.00294300624986464,0.708538830584438
310,3,[0.8 1.2 1.6 2],0.4,1,10,421,0.2725146484375,0.641966233287784,0.148164474420944,0.160282356047147,0.00294300624986464,0.708538830584438
340,3,[0.8 1.2 1.6 2],0.45,1,10,421,0.2725146484375,0.641966233287784,0.148164474420944,0.160282356047147,0.00294300624986464,0.708538830584438
574,5,[0.8 1 1.4 1.8 2.2],0.45,1,4,347,0.2609814453125,0.643506586359985,0.124541269148645,0.171965633243421,0.00434712867762132,0.708831673950118
250,3,[0.8 1.2 1.6 2],0.3,1,10,420,0.27206298828125,0.642867850569671,0.144790778860654,0.161854412718378,0.00311604413084637,0.709124843825132
484,5,[0.8 1 1.4 1.8 2.2],0.3,1,4,342,0.2592236328125,0.644123352469414,0.12423417404257,0.17215759824642,0.00437247909264954,0.709467708847562
514,5,[0.8 1 1.4 1.8 2.2],0.35,1,4,343,0.2595361328125,0.644123352469414,0.12423417404257,0.17215759824642,0.00437247909264954,0.709467708847562
544,5,[0.8 1 1.4 1.8 2.2],0.4,1,4,346,0.26036865234375,0.644123352469414,0.12423417404257,0.17215759824642,0.00437247909264954,0.709467708847562
16,1,[1 1.5],0.3,1.2,6,524,0.2665380859375,0.635002995506332,0.198858789644675,0.141580365845222,0.00126362414207254,0.710921692592331
46,1,[1 1.5],0.35,1.2,6,524,0.2665380859375,0.635002995506332,0.198858789644675,0.141580365845222,0.00126362414207254,0.710921692592331
76,1,[1 1.5],0.4,1.2,6,524,0.2665380859375,0.635002995506332,0.198858789644675,0.141580365845222,0.00126362414207254,0.710921692592331
106,1,[1 1.5],0.45,1.2,6,524,0.2665380859375,0.635002995506332,0.198858789644675,0.141580365845222,0.00126362414207254,0.710921692592331
